ds,yhat,yhat_lower,yhat_upper
2016-05-30,7750.71786218088,1217.803852371864,14201.137789457685
2016-05-31,6478.964952384679,207.7292463795668,13246.357404829107
2016-06-01,6915.496093775325,322.81819048604325,13731.832405524647
2016-06-02,6978.924779258118,1012.1360787132787,13303.215359391446
2016-06-03,8045.381512957058,867.0042072299611,15255.936602696314
2016-06-04,11934.153543815117,5117.309561537991,17726.283794343082
2016-06-05,11510.230295826572,4890.011803641613,18088.880188205523
2016-06-06,8157.897878192014,1259.517102796845,14721.169294259998
2016-06-07,6985.596659226729,631.9981299383709,13653.87380277367
2016-06-08,7536.520166546874,778.4194840005081,14185.121460421758
2016-06-09,7726.788659601549,942.7274081591833,14733.36035210903
2016-06-10,8929.775488369969,2217.9402660636883,15881.53785020863
2016-06-11,12961.817295823234,6125.984568083314,19746.481195135297
2016-06-12,12684.8336548072,5737.124642597111,19473.86646185773
2016-06-13,9479.997547766105,3132.42222072886,16344.636478379154
2016-06-14,8452.66868177491,1628.8880282872876,15502.039627542721
2016-06-15,9143.065948265881,2108.0305758004033,15664.559459040607
2016-06-16,9464.510510167567,2546.7848545607962,16073.272246470622
2016-06-17,10787.815907048214,4514.849301495215,17624.913063334
2016-06-18,14927.054696324705,8051.195150997747,22137.886701713553
2016-06-19,14742.2259049625,8203.652547368327,21856.80898832474
2016-06-20,11612.963638694575,5192.171142036574,18507.805868732536
2016-06-21,10643.49805957838,3686.8631983202663,17722.256492215907
2016-06-22,11373.34455499709,4677.934038636276,17678.8796432846
2016-06-23,11715.55239856789,4983.583861112302,18555.89857991333
2016-06-24,13041.08941326349,6193.653666354173,19424.171188930202
2016-06-25,17164.592568155447,10655.928898941658,24297.173851259864
2016-06-26,16947.00947196582,10279.85963792801,23664.526901494562
2016-06-27,13769.272050260484,7245.408485747494,19991.057332731707
2016-06-28,12737.2147759917,6081.560554290228,19399.395387984343
2016-06-29,13392.214617689946,6492.398203871724,20547.491991531657
2016-06-30,13649.38548746166,6715.236275920854,20215.722362899283
2016-07-01,14881.905276699534,8060.166113048381,20561.17387130499
2016-07-02,18906.70703774705,12069.46075652602,25502.216013788184
2016-07-03,18587.060903957714,12129.671076622313,25699.778022066777
2016-07-04,15306.189620315956,8473.745324141302,22155.100478212942
2016-07-05,14172.131552386423,7989.580141731153,21209.70287108034
2016-07-06,14728.329707804583,7890.838458500329,21526.214944955696
2016-07-07,14891.78075932867,8447.854603040265,21510.00118017811
2016-07-08,16037.32317038311,9334.341368433712,22928.790077726484
